"Geschlecht","Alter","AnzahlGeschwister","WohnortMuenster","Wohntyp","Wohnflaeche","Wohnzufriedenheit","Wohnkosten","FahrzeitRadDom","MatheVorkurs","Studiengang","Lehre","AnderesStudium","Bundesland","EntfernungSchule","Abiturnote","Mathematik","SoWi","Spanisch","Informatik","Deutsch","Sport","Musik","Englisch","Physik","Erdkunde","Geschichte","Chemie","Kunst","Biologie","Franzoesisch","Wirtschaft","Keine","Textfeld","MathenoteDurchschnitt","Auslandsaufenthalt","Nebenjob","Bafoeg","Monatsbudget","Verkehrsmittel","SozialesEngagement","Buecher","ErwartetesGehalt","40Prozent","60Prozent","Medienvertrauen"
"männlich",22,"0","ja","in einem Wohnheim",32,"sehr zufrieden",410.08,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","0-10 km",2.2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,840,"Fahrrad",24,"1-50",84000,"40","60",42
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",24,"1","nein","bei meinen Eltern",50,"zufrieden",NA,"Ich wohne nicht in Münster","ja","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",3.4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"4","nein",0,0,NA,"ÖPNV",0,"1-50",3000,"40","60",7
"weiblich",19,"2","nein","bei meinen Eltern",10,"es ist okay",NA,"Ich wohne nicht in Münster","nein","Politik und Wirtschaft","nein","nein","Nordrhein-Westfalen","20-50 km",2.1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","nein",0,0,NA,"ÖPNV",0,"101-500",50000,"40","3/5",72
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"2","ja","alleine in einer Wohnung",13,"es ist okay",355,"zwischen 10 und 15 min","nein","Wirtschaft und Recht","nein","nein","Niedersachsen","50-100 km",2.2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"13","nein",5,660,1000,"Fahrrad",0,"51-100",50000,"40","60",61
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",19,"1","ja","bei meinen Eltern",16,"es ist okay",NA,"zwischen 15 und 20 min","nein","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",2.8,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","nein",0,0,NA,"Auto",0,"101-500",40000,"40","60",57
"männlich",20,"2","ja","in einer WG",21,"zufrieden",396,"zwischen 5 und 10 min","nein","Politik und Wirtschaft","nein","nein","Baden-Württemberg","500-1000 km",2.6,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"5","nein",0,0,1000,"Fahrrad",0,"1001-2000",3000,"40","60",82
