Alter;Kuendigungswkt;Deckungsbeitrag
15; 0,013406   ;-102,43
16; 0,023837   ;-91,90
17; 0,032603   ;-81,80
18; 0,039867   ;-72,11
19; 0,045785   ;-62,83
20; 0,050501   ;-53,96
21; 0,054149   ;-45,49
22; 0,056857   ;-37,43
23; 0,058742   ;-29,77
24; 0,059911   ;-22,50
25; 0,060466   ;-15,62
26; 0,060500   ;-9,12
27; 0,060096   ;-2,99
28; 0,059333   ;2,76
29; 0,058280   ;8,14
30; 0,057002   ;13,17
31; 0,055555   ;17,85
32; 0,053991   ;22,18
33; 0,052355   ;26,18
34; 0,050686   ;29,84
35; 0,049019   ;33,19
36; 0,047382   ;36,23
37; 0,045801   ;38,96
38; 0,044296   ;41,39
39; 0,042882   ;43,54
40; 0,041573   ;45,42
41; 0,040376   ;47,03
42; 0,039298   ;48,38
43; 0,038341   ;49,48
44; 0,037506   ;50,35
45; 0,036790   ;50,99
46; 0,036189   ;51,42
47; 0,035696   ;51,64
48; 0,035306   ;51,67
49; 0,035009   ;51,51
50; 0,034796   ;51,19
51; 0,034656   ;50,70
52; 0,034582   ;50,06
53; 0,034561   ;49,29
54; 0,034585   ;48,39
55; 0,036519   ;46,45
56; 0,038560   ;44,59
57; 0,040716   ;42,81
58; 0,042992   ;41,10
59; 0,045396   ;39,45
60; 0,047934   ;37,88
61; 0,050614   ;36,36
62; 0,053444   ;34,91
63; 0,056432   ;33,51
64; 0,059587   ;32,17
65; 0,062918   ;30,88
66; 0,066436   ;29,65
67; 0,070150   ;28,46
68; 0,074072   ;27,32
69; 0,078213   ;26,23
70; 0,082586   ;25,18
71; 0,087203   ;24,17
72; 0,092078   ;23,21
73; 0,097226   ;22,28
74; 0,102662   ;21,39
75; 0,108401   ;20,53
76; 0,114462   ;19,71
77; 0,120861   ;18,92
78; 0,127618   ;18,17
79; 0,134753   ;17,44
80; 0,142287   ;16,74
81; 0,150242   ;16,07
82; 0,158642   ;15,43
83; 0,167511   ;14,81
84; 0,176876   ;14,22
85; 0,186765   ;13,65
86; 0,197207   ;13,10
87; 0,208232   ;12,58
88; 0,219874   ;12,08
89; 0,232166   ;11,59
90; 0,245146   ;11,13
91; 0,258852   ;10,68
92; 0,273324   ;10,26
93; 0,288605   ;9,85
94; 0,304740   ;9,45
95; 0,321778   ;9,08
96; 0,339768   ;8,71
97; 0,358763   ;8,36
98; 0,378821   ;8,03
99; 1,000000   ;
